project,soil,dsp_pedon_id,lat,long,ID,mat,map,climate
Illinois,Drummer,IL-115-SW-WDFLD-001,39.866062,-88.798131,1,11.21483325958252,1000,cool_wet
Illinois,Drummer,IL-115-SW-WDFLD-002,39.865395,-88.799917,2,11.21483325958252,1000,cool_wet
Illinois,Drummer,IL-115-SW-WDFLD-003,39.868482,-88.798039,3,11.21483325958252,1000,cool_wet
Illinois,Drummer,IL-115-SW-ETAL-001,39.895068,-88.745608,4,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-115-SW-ETAL-002,39.895384,-88.746645,5,11.113166809082031,1005,cool_wet
Illinois,Dana,IL-115-SW-ETAL-003,39.90146,-88.746587,6,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-147-SW-TS-001,39.876683,-88.700021,7,11.108333587646484,1003,cool_wet
Illinois,Drummer,IL-147-SW-TS-002,39.878541,-88.700776,8,11.108333587646484,1003,cool_wet
Illinois,Drummer,IL-147-SW-TS-003,39.878261,-88.705988,9,11.108333587646484,1003,cool_wet
Illinois,Drummer,IL-147-SW-CRP-001,39.895694,-88.743611,10,11.113166809082031,1005,cool_wet
Illinois,Flanagan,IL-147-SW-CRP-002,39.896889,-88.743611,11,11.113166809082031,1005,cool_wet
Illinois,Dana,IL-147-SW-CRP-003,39.898194,-88.743333,12,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-019-SW-ARBRTM-001,40.0916401,-88.216396,13,11.226499557495117,1011,cool_wet
Illinois,Drummer,IL-019-SW-ARBRTM-002,40.0918033,-88.2161899,14,11.226499557495117,1011,cool_wet
Illinois,Drummer,IL-019-SW-ARBRTM-003,40.0914285,-88.2159005,15,11.226499557495117,1011,cool_wet
Illinois,Drummer,IL-019-SW-RTHRML-001,39.9295,-88.0238,16,11.027999877929688,1022,cool_wet
Illinois,Drummer,IL-019-SW-RTHRML-002,39.9295,-88.0238,17,11.027999877929688,1022,cool_wet
Illinois,Flanagan,IL-019-SW-RTHRML-003,39.9254322,-88.0275783,18,11.027999877929688,1022,cool_wet
Illinois,Flanagan,IL-019-SW-RTHRML-004,39.9254322,-88.0275783,19,11.027999877929688,1022,cool_wet
Illinois,Drummer,IL-115-SW-WDFLD-001A,39.866062,-88.798131,20,11.21483325958252,1000,cool_wet
Illinois,Drummer,IL-115-SW-ETAL-001A,39.895068,-88.745608,21,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-147-SW-TS-003A,39.878261,-88.705988,22,11.108333587646484,1003,cool_wet
Illinois,Drummer,IL-147-SW-CRP-001A,39.895694,-88.743611,23,11.113166809082031,1005,cool_wet
Illinois,Drummer,IL-019-SW-RTHRML-001A,39.9295,-88.0238,24,11.027999877929688,1022,cool_wet
Illinois,Flanagan,IL-019-SW-RTHRML-004A,39.92541,-88.027589,25,11.027999877929688,1022,cool_wet
OregonState,Jory,JoF1 - 1,44.6361175,-123.2972812,26,10.439666748046875,1702,cool_wet
OregonState,Jory,JoF1 - 2,44.6362175,-123.2973802,27,10.439666748046875,1702,cool_wet
OregonState,Jory,JoF1 - 3,44.6358175,-123.2974823,28,10.439666748046875,1702,cool_wet
OregonState,Jory,JoF2 - 1,44.918413,-123.355451,29,10.75433349609375,1556,cool_wet
OregonState,Jory,JoF2 - 2,44.918544,-123.355551,30,10.75433349609375,1556,cool_wet
OregonState,Jory,JoF2 - 3,44.918514,-123.355451,31,10.75433349609375,1556,cool_wet
OregonState,Woodburn,WoNT1 - 1,44.737333,-123.27097,32,11.279166221618652,1284,cool_wet
OregonState,Woodburn,WoNT1 - 2,44.737333,-123.27107,33,11.279166221618652,1284,cool_wet
OregonState,Woodburn,WoNT1 - 3,44.737633,-123.27077,34,11.279166221618652,1284,cool_wet
OregonState,Jory,JoV1 - 1,45.24882,-123.07116,35,11.384166717529297,1036,cool_wet
OregonState,Jory,JoV1 - 2,45.24882,-123.07126,36,11.384166717529297,1036,cool_wet
OregonState,Jory,JoV1 - 3,45.24912,-123.07096,37,11.384166717529297,1036,cool_wet
OregonState,Woodburn,WoH1 - 1,45.2279,-122.96961,38,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoH1 - 2,45.2278,-122.96961,39,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoH1 - 3,45.2279,-122.96981,40,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoCT1 - 1,45.231102,-122.964818,41,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoCT1 - 2,45.231202,-122.964718,42,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoCT1 - 3,45.231402,-122.964618,43,11.487166404724121,1011,cool_wet
OregonState,Woodburn,WoNT2 - 1,45.07067,-123.21367,44,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoNT2 - 2,45.07057,-123.21377,45,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoNT2 - 3,45.07097,-123.21387,46,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoH2 - 1,45.074334,-123.213416,47,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoH2 - 2,45.074334,-123.213516,48,11.355833053588867,1131,cool_wet
OregonState,Woodburn,WoH2 - 3,45.074334,-123.213616,49,11.355833053588867,1131,cool_wet
OregonState,Jory,JoXT1 - 1,44.4319,-123.33523,50,10.982500076293945,1468,cool_wet
OregonState,Jory,JoXT1 - 2,44.4318,-123.33533,51,10.982500076293945,1468,cool_wet
OregonState,Jory,JoXT1 - 3,44.4316,-123.33503,52,10.982500076293945,1468,cool_wet
OregonState,Jory,JoF3 - 1,44.74261,-123.41895,53,10.579500198364258,1722,cool_wet
OregonState,Jory,JoF3 - 2,44.74261,-123.41905,54,10.579500198364258,1722,cool_wet
OregonState,Jory,JoF3 - 3,44.74261,-123.41875,55,10.579500198364258,1722,cool_wet
OregonState,Jory,JoV2 - 1,45.251054,-123.049801,56,10.831167221069336,1297,cool_wet
OregonState,Jory,JoV2 - 2,45.250954,-123.049901,57,10.831167221069336,1297,cool_wet
OregonState,Jory,JoV2 - 3,45.251354,-123.049601,58,10.831167221069336,1297,cool_wet
OregonState,Jory,JoXT2 - 1,45.04997,-123.13708,59,10.626832962036133,1450,cool_wet
OregonState,Jory,JoXT2 - 2,45.04987,-123.13718,60,10.626832962036133,1450,cool_wet
OregonState,Jory,JoXT2 - 3,45.04997,-123.13688,61,10.626832962036133,1450,cool_wet
OregonState,Jory,JoXT3 - 1,44.910377,-122.90909,62,11.120499610900879,1186,cool_wet
OregonState,Jory,JoXT3 - 2,44.910277,-122.90899,63,11.120499610900879,1186,cool_wet
OregonState,Jory,JoXT3 - 3,44.910077,-122.90889,64,11.120499610900879,1186,cool_wet
OregonState,Jory,JoV3 - 1,45.037101,-123.130763,65,11.041333198547363,1211,cool_wet
OregonState,Jory,JoV3 - 2,45.037201,-123.130863,66,11.041333198547363,1211,cool_wet
OregonState,Jory,JoV3 - 3,45.037101,-123.130563,67,11.041333198547363,1211,cool_wet
OregonState,Woodburn,WoH3 - 1,44.94845,-122.86279,68,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoH3 - 2,44.94855,-122.86289,69,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoH3 - 3,44.94815,-122.86259,70,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoCT2 - 1,45.014134,-122.842842,71,11.441166877746582,1053,cool_wet
OregonState,Woodburn,WoCT2 - 2,45.014034,-122.842742,72,11.441166877746582,1053,cool_wet
OregonState,Woodburn,WoCT2 - 3,45.013834,-122.843042,73,11.441166877746582,1053,cool_wet
OregonState,Woodburn,WoCT3 - 1,45.1251,-123.06167,74,11.435500144958496,1018,cool_wet
OregonState,Woodburn,WoCT3 - 2,45.1251,-123.06201,75,11.435500144958496,1018,cool_wet
OregonState,Woodburn,WoCT3 - 3,45.1248,-123.06134,76,11.442500114440918,1014,cool_wet
OregonState,Woodburn,WoNT3 - 1,44.950981,-122.856544,77,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoNT3 - 2,44.950981,-122.856644,78,11.209833145141602,1138,cool_wet
OregonState,Woodburn,WoNT3 - 3,44.950981,-122.856744,79,11.209833145141602,1138,cool_wet
UConn,Woodbridge,PaN1-1,41.797167,-72.22985,80,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaT1-1,41.79725,-72.229722,81,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaT1-2,41.797389,-72.2300556,82,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaN1-2,41.7975278,-72.23025,83,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaN1-3,41.79775,-72.2305556,84,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaT1-3,41.7975833,-72.2303333,85,8.857999801635742,1252,cool_wet
UConn,Canton,PaM1-1,41.8184833,-72.23745,86,8.857999801635742,1252,cool_wet
UConn,Canton,PaM1-2,41.8185,-72.2377833,87,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaU1-1,41.8184333,-72.2388333,88,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaU1-2,41.818491,-72.238939,89,8.857999801635742,1252,cool_wet
UConn,Woodbridge,PaM2-1,41.8207833,-72.25135,90,8.846333503723145,1257,cool_wet
UConn,Woodbridge,PaM2-2,41.821,-72.2543056,91,8.846333503723145,1257,cool_wet
UConn,Woodbridge,PaU2-1,41.8216111,-72.2532778,92,8.846333503723145,1257,cool_wet
UConn,Woodbridge,PaU2-2,41.82161667,-72.25333,93,8.846333503723145,1257,cool_wet
UConn,Woodbridge,PaL1-1,41.7995278,-72.188333,94,8.826166152954102,1251,cool_wet
UConn,Woodbridge,PaL1-2,41.7995556,-72.18838889,95,8.826166152954102,1251,cool_wet
UConn,Canton,PaL2-1,41.800011,-72.189595,96,8.826166152954102,1251,cool_wet
UConn,Canton,PaL2-2,41.80006,-72.1895,97,8.826166152954102,1251,cool_wet
UConn,Montauk,PaH1-1,41.9655,-71.9745277,98,8.590167045593262,1219,cool_wet
UConn,Montauk,PaH1-2,41.96552778,-71.9745556,99,8.590167045593262,1219,cool_wet
UConn,Montauk,PaN2-1,41.9655556,-71.9746667,100,8.590167045593262,1219,cool_wet
UConn,Montauk,PaN2-2,41.9654722,-71.97463889,101,8.590167045593262,1219,cool_wet
UConn,Montauk,PaN2-3,41.96552778,-71.9746667,102,8.590167045593262,1219,cool_wet
UConn,Woodbridge,PaH2-1,41.7541111,-72.2346389,103,9.041500091552734,1260,cool_wet
UConn,Woodbridge,PaH2-2,41.7541389,-72.2345833,104,9.041500091552734,1260,cool_wet
UConn,Woodbridge,PaT2-1,41.7537778,-72.2351944,105,9.041500091552734,1260,cool_wet
UConn,Woodbridge,PaT2-2,41.7538,-72.2351833,106,9.041500091552734,1260,cool_wet
UConn,Woodbridge,PaT2-3,41.7537833,-72.23521667,107,9.041500091552734,1260,cool_wet
UTRGV,Hidalgo,AX1-1,26.37183,-97.86129,108,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AX1-2,26.376803,-97.861285,109,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AX1-3,26.381147,-97.861396,110,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AX2-1,26.372257,-97.860439,111,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AX2-2,26.372359,-97.854799,112,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AX2-3,26.372348,-97.841816,113,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AX3-1,26.449237,-97.845711,114,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AX3-2,26.45138326,-97.84310718,115,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AX3-3,26.451224,-97.842418,116,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AY1-1,26.429164,-97.87775,117,22.969499588012695,668,warm_dry
UTRGV,Hidalgo,AY1-2,26.428431,-97.876675,118,22.969499588012695,668,warm_dry
UTRGV,Hidalgo,AY1-3,26.423498,-97.878012,119,22.969499588012695,668,warm_dry
UTRGV,Hidalgo,AY2-1,26.417867,-97.87736,120,22.969499588012695,668,warm_dry
UTRGV,Hidalgo,AY2-2,26.408338,-97.877546,121,22.976499557495117,667,warm_dry
UTRGV,Hidalgo,AY2-3,26.408107,-97.867819,122,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AY3-1,26.378011,-97.894115,123,22.976499557495117,667,warm_dry
UTRGV,Hidalgo,AY3-2,26.371559,-97.882158,124,23.023332595825195,658,warm_dry
UTRGV,Hidalgo,AY3-3,26.371856,-97.881485,125,23.023332595825195,658,warm_dry
UTRGV,Hidalgo,AZ1-1,26.442916,-97.814156,126,22.976333618164063,690,warm_dry
UTRGV,Hidalgo,AZ1-2,26.440373,-97.81413,127,22.976333618164063,690,warm_dry
UTRGV,Hidalgo,AZ1-3,26.441954,-97.814157,128,22.976333618164063,690,warm_dry
UTRGV,Hidalgo,AZ2-1,26.358343,-97.857232,129,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AZ2-2,26.358388,-97.846311,130,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AZ2-3,26.36504,-97.85824,131,23.07349967956543,673,warm_dry
UTRGV,Hidalgo,AZ3-1,26.389298,-97.852623,132,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AZ3-2,26.387731,-97.852666,133,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AZ3-3,26.387833,-97.849146,134,23.059999465942383,678,warm_dry
UTRGV,Hidalgo,AR2-1,26.309166,-98.203663,135,23.37433433532715,590,warm_dry
UTRGV,Hidalgo,AR2-2,26.30907954,-98.20307,136,23.37433433532715,590,warm_dry
UTRGV,Hidalgo,AR2-3,26.30896,-98.202272,137,23.37433433532715,590,warm_dry
UTRGV,Hidalgo,AR3-1,26.425936,-97.865571,138,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AR3-2,26.42575,-97.86555,139,22.996166229248047,682,warm_dry
UTRGV,Hidalgo,AR3-3,26.425912,-97.863987,140,22.996166229248047,682,warm_dry
KansasState,Keith,KeCF3 - 1,39.9519869,-100.89697,141,10.63800048828125,545,cool_dry
KansasState,Keith,KeCF3 - 2,39.9521612,-100.8967806,142,10.63800048828125,545,cool_dry
KansasState,Keith,KeCF3 - 3,39.9521612,-100.8967806,143,10.63800048828125,545,cool_dry
KansasState,Keith,KeC3 - 1,39.978288,-100.868944,144,10.547499656677246,544,cool_dry
KansasState,Keith,KeC3 - 2,39.978452,-100.868986,145,10.547499656677246,544,cool_dry
KansasState,Keith,KeC3 - 3,39.9783659,-100.8687585,146,10.547499656677246,544,cool_dry
KansasState,Keith,KeN3 - 1,39.9736474,-100.8692162,147,10.547499656677246,544,cool_dry
KansasState,Keith,KeN3 - 2,39.9739409,-100.8692095,148,10.547499656677246,544,cool_dry
KansasState,Keith,KeN3 - 3,39.9737363,-100.8690184,149,10.547499656677246,544,cool_dry
KansasState,Keith,KeCF1 - 1,39.2447359,-100.5431538,150,11.226166725158691,521,cool_dry
KansasState,Keith,KeCF1 - 2,39.2450134,-100.5430643,151,11.226166725158691,521,cool_dry
KansasState,Keith,KeCF1 - 3,39.2447102,-100.5427146,152,11.226166725158691,521,cool_dry
KansasState,Keith,KeN1 - 1,39.249205,-100.56165,153,11.226166725158691,521,cool_dry
KansasState,Keith,KeN1 - 2,39.249205,-100.56165,154,11.226166725158691,521,cool_dry
KansasState,Keith,KeN1 - 3,39.249205,-100.56165,155,11.226166725158691,521,cool_dry
